* Measurement data measured by REW V5.20.4
* Source:
* Format:
* Dated: 2021/12/25 19:43:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 18.8 dB
* Note: 
* Measurement: Variations S2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
418.000000 87.165 -172.2182
425.000000 87.193 -171.9744
431.000000 87.216 -171.7703
437.000000 87.238 -171.5719
444.000000 87.262 -171.3477
450.000000 87.282 -171.1606
455.000000 87.298 -171.0073
462.000000 87.321 -170.7956
468.000000 87.339 -170.6156
475.000000 87.360 -170.4064
482.000000 87.381 -170.1987
487.000000 87.395 -170.0517
494.000000 87.414 -169.8480
500.000000 87.430 -169.6762
508.000000 87.452 -169.4507
515.000000 87.469 -169.2532
522.000000 87.485 -169.0522
530.000000 87.502 -168.8176
538.000000 87.518 -168.5812
545.000000 87.531 -168.3747
552.000000 87.543 -168.1685
560.000000 87.558 -167.9338
570.000000 87.575 -167.6405
580.000000 87.592 -167.3411
590.000000 87.608 -167.0330
600.000000 87.623 -166.7177
608.000000 87.635 -166.4632
615.000000 87.645 -166.2393
622.000000 87.655 -166.0137
630.000000 87.667 -165.7526
640.000000 87.682 -165.4206
650.000000 87.698 -165.0825
660.000000 87.714 -164.7384
670.000000 87.730 -164.3869
680.000000 87.746 -164.0250
690.000000 87.762 -163.6531
700.000000 87.778 -163.2721
710.000000 87.795 -162.8828
720.000000 87.813 -162.4870
730.000000 87.832 -162.0858
740.000000 87.852 -161.6790
750.000000 87.874 -161.2666
762.000000 87.902 -160.7629
775.000000 87.937 -160.2072
788.000000 87.975 -159.6447
800.000000 88.014 -159.1215
812.000000 88.056 -158.5947
825.000000 88.106 -158.0187
838.000000 88.159 -157.4416
850.000000 88.212 -156.9133
862.000000 88.269 -156.3906
875.000000 88.336 -155.8310
885.000000 88.390 -155.4062
900.000000 88.475 -154.7814
912.000000 88.547 -154.2948
925.000000 88.628 -153.7845
938.000000 88.713 -153.2975
950.000000 88.795 -152.8718
962.000000 88.881 -152.4699
975.000000 88.976 -152.0625
988.000000 89.075 -151.6854
1000.000000 89.168 -151.3651
1015.000000 89.287 -151.0040
1030.000000 89.407 -150.6892
1044.000000 89.519 -150.4369
1060.000000 89.648 -150.1950
1075.000000 89.768 -150.0108
1090.000000 89.887 -149.8661
1106.000000 90.014 -149.7583
1120.000000 90.125 -149.7079
1138.000000 90.263 -149.7034
1150.000000 90.353 -149.7339
1172.000000 90.511 -149.8432
1180.000000 90.566 -149.8963
1206.000000 90.737 -150.1083
1220.000000 90.824 -150.2448
1241.000000 90.948 -150.4736
1250.000000 90.998 -150.5788
1265.000000 91.078 -150.7613
1280.000000 91.154 -150.9503
1315.000000 91.316 -151.4005
1320.000000 91.337 -151.4650
1340.000000 91.419 -151.7216
1360.000000 91.496 -151.9729
1380.000000 91.568 -152.2164
1400.000000 91.638 -152.4519
1430.000000 91.737 -152.7876
1450.000000 91.800 -152.9968
1475.000000 91.875 -153.2406
1500.000000 91.947 -153.4646
1525.000000 92.017 -153.6701
1550.000000 92.085 -153.8591
1575.000000 92.152 -154.0329
1600.000000 92.219 -154.1919
1625.000000 92.285 -154.3372
1650.000000 92.352 -154.4718
1675.000000 92.420 -154.5975
1700.000000 92.488 -154.7152
1725.000000 92.557 -154.8261
1750.000000 92.627 -154.9326
1775.000000 92.698 -155.0375
1800.000000 92.771 -155.1434
1825.000000 92.845 -155.2512
1850.000000 92.921 -155.3623
1875.000000 92.999 -155.4783
1900.000000 93.078 -155.6001
1925.000000 93.159 -155.7282
1950.000000 93.241 -155.8643
1975.000000 93.324 -156.0103
2000.000000 93.409 -156.1684
2030.000000 93.511 -156.3761
2060.000000 93.615 -156.6037
2090.000000 93.721 -156.8537
2120.000000 93.829 -157.1293
2140.000000 93.902 -157.3289
2180.000000 94.050 -157.7679
2200.000000 94.124 -158.0074
2240.000000 94.273 -158.5284
2270.000000 94.386 -158.9581
2300.000000 94.498 -159.4232
2330.000000 94.610 -159.9254
2360.000000 94.721 -160.4655
2400.000000 94.868 -161.2446
2430.000000 94.976 -161.8731
2470.000000 95.116 -162.7690
2500.000000 95.218 -163.4835
2540.000000 95.348 -164.4933
2580.000000 95.471 -165.5681
2620.000000 95.588 -166.7040
2650.000000 95.671 -167.5942
2690.000000 95.774 -168.8296
2720.000000 95.846 -169.7896
2760.000000 95.934 -171.1092
2800.000000 96.010 -172.4668
2850.000000 96.088 -174.2066
2900.000000 96.149 -175.9834
2950.000000 96.194 -177.7814
3000.000000 96.222 -179.5861
3040.000000 96.233 178.9739
3070.000000 96.234 177.9000
3110.000000 96.227 176.4797
3150.000000 96.211 175.0750
3200.000000 96.180 173.3431
3250.000000 96.136 171.6379
3300.000000 96.083 169.9525
3350.000000 96.020 168.2761
