frequency,raw
20.00,-3.12
20.20,-3.03
20.40,-2.94
20.61,-2.85
20.81,-2.76
21.02,-2.68
21.23,-2.59
21.44,-2.52
21.66,-2.45
21.87,-2.36
22.09,-2.29
22.31,-2.23
22.54,-2.14
22.76,-2.08
22.99,-2.01
23.22,-1.92
23.45,-1.85
23.69,-1.79
23.92,-1.72
24.16,-1.66
24.40,-1.58
24.65,-1.49
24.89,-1.43
25.14,-1.36
25.39,-1.29
25.65,-1.23
25.91,-1.15
26.16,-1.09
26.43,-1.02
26.69,-0.96
26.96,-0.88
27.23,-0.82
27.50,-0.75
27.77,-0.69
28.05,-0.62
28.33,-0.55
28.62,-0.49
28.90,-0.41
29.19,-0.35
29.48,-0.28
29.78,-0.21
30.08,-0.15
30.38,-0.08
30.68,-0.01
30.99,0.04
31.30,0.10
31.61,0.17
31.93,0.22
32.24,0.29
32.57,0.35
32.89,0.40
33.22,0.47
33.55,0.53
33.89,0.58
34.23,0.64
34.57,0.70
34.92,0.75
35.27,0.80
35.62,0.87
35.97,0.92
36.33,0.97
36.70,1.02
37.06,1.08
37.43,1.12
37.81,1.17
38.19,1.23
38.57,1.29
38.95,1.32
39.34,1.38
39.74,1.43
40.14,1.46
40.54,1.51
40.94,1.55
41.35,1.60
41.76,1.64
42.18,1.68
42.60,1.72
43.03,1.76
43.46,1.81
43.90,1.84
44.33,1.88
44.78,1.91
45.23,1.95
45.68,1.98
46.13,2.02
46.60,2.06
47.06,2.09
47.53,2.14
48.01,2.16
48.49,2.20
48.97,2.23
49.46,2.26
49.96,2.30
50.46,2.32
50.96,2.37
51.47,2.38
51.99,2.43
52.51,2.45
53.03,2.49
53.56,2.51
54.10,2.56
54.64,2.58
55.18,2.63
55.74,2.63
56.29,2.67
56.86,2.69
57.42,2.73
58.00,2.75
58.58,2.79
59.16,2.81
59.76,2.85
60.35,2.87
60.96,2.90
61.57,2.93
62.18,2.95
62.80,2.99
63.43,3.01
64.07,3.05
64.71,3.06
65.35,3.11
66.01,3.13
66.67,3.16
67.33,3.18
68.01,3.23
68.69,3.24
69.37,3.28
70.07,3.30
70.77,3.32
71.48,3.36
72.19,3.36
72.91,3.40
73.64,3.42
74.38,3.43
75.12,3.47
75.87,3.48
76.63,3.48
77.40,3.52
78.17,3.54
78.95,3.54
79.74,3.56
80.54,3.60
81.35,3.60
82.16,3.60
82.98,3.60
83.81,3.64
84.65,3.66
85.50,3.66
86.35,3.66
87.22,3.66
88.09,3.69
88.97,3.71
89.86,3.72
90.76,3.72
91.66,3.72
92.58,3.72
93.51,3.74
94.44,3.76
95.39,3.78
96.34,3.78
97.30,3.78
98.28,3.79
99.26,3.81
100.25,3.84
101.25,3.84
102.27,3.84
103.29,3.84
104.32,3.87
105.37,3.91
106.42,3.91
107.48,3.91
108.56,3.91
109.64,3.91
110.74,3.92
111.85,3.94
112.97,3.94
114.10,3.97
115.24,3.97
116.39,3.97
117.55,3.97
118.73,3.97
119.92,3.97
121.12,3.97
122.33,3.97
123.55,3.97
124.79,3.97
126.03,3.97
127.29,3.97
128.57,3.97
129.85,3.97
131.15,3.97
132.46,3.97
133.79,3.97
135.12,3.97
136.48,3.97
137.84,3.97
139.22,3.97
140.61,3.97
142.02,3.97
143.44,3.97
144.87,3.97
146.32,3.97
147.78,3.97
149.26,3.97
150.75,3.97
152.26,3.97
153.78,3.97
155.32,3.97
156.88,3.97
158.44,3.97
160.03,3.97
161.63,3.97
163.24,3.97
164.88,3.95
166.53,3.94
168.19,3.91
169.87,3.91
171.57,3.91
173.29,3.91
175.02,3.91
176.77,3.91
178.54,3.87
180.32,3.85
182.13,3.85
183.95,3.85
185.79,3.85
187.65,3.81
189.52,3.78
191.42,3.78
193.33,3.76
195.27,3.72
197.22,3.72
199.19,3.68
201.18,3.66
203.19,3.63
205.23,3.60
207.28,3.58
209.35,3.54
211.44,3.52
213.56,3.48
215.69,3.47
217.85,3.42
220.03,3.41
222.23,3.36
224.45,3.36
226.70,3.35
228.96,3.30
231.25,3.30
233.57,3.29
235.90,3.25
238.26,3.24
240.64,3.24
243.05,3.22
245.48,3.18
247.93,3.18
250.41,3.16
252.92,3.12
255.45,3.12
258.00,3.10
260.58,3.06
263.19,3.06
265.82,3.03
268.48,2.99
271.16,2.98
273.87,2.93
276.61,2.93
279.38,2.89
282.17,2.87
284.99,2.84
287.84,2.81
290.72,2.80
293.63,2.75
296.57,2.74
299.53,2.69
302.53,2.69
305.55,2.66
308.61,2.63
311.69,2.62
314.81,2.57
317.96,2.57
321.14,2.53
324.35,2.51
327.59,2.49
330.87,2.45
334.18,2.43
337.52,2.39
340.90,2.38
344.30,2.33
347.75,2.31
351.23,2.27
354.74,2.25
358.28,2.20
361.87,2.18
365.49,2.14
369.14,2.11
372.83,2.07
376.56,2.02
380.33,2.00
384.13,1.96
387.97,1.93
391.85,1.89
395.77,1.84
399.73,1.82
403.72,1.78
407.76,1.74
411.84,1.70
415.96,1.66
420.12,1.62
424.32,1.58
428.56,1.54
432.85,1.50
437.18,1.47
441.55,1.42
445.96,1.40
450.42,1.35
454.93,1.33
459.48,1.29
464.07,1.26
468.71,1.23
473.40,1.21
478.13,1.17
482.91,1.15
487.74,1.11
492.62,1.10
497.55,1.05
502.52,1.02
507.55,0.99
512.62,0.95
517.75,0.93
522.93,0.88
528.16,0.87
533.44,0.83
538.77,0.81
544.16,0.77
549.60,0.74
555.10,0.70
560.65,0.68
566.25,0.63
571.92,0.62
577.64,0.57
583.41,0.55
589.25,0.50
595.14,0.48
601.09,0.44
607.10,0.41
613.17,0.38
619.30,0.36
625.50,0.32
631.75,0.28
638.07,0.25
644.45,0.21
650.89,0.20
657.40,0.16
663.98,0.14
670.62,0.10
677.32,0.08
684.10,0.05
690.94,0.02
697.85,0.01
704.83,-0.04
711.87,-0.04
718.99,-0.10
726.18,-0.11
733.44,-0.14
740.78,-0.17
748.19,-0.17
755.67,-0.22
763.23,-0.23
770.86,-0.26
778.57,-0.29
786.35,-0.29
794.22,-0.32
802.16,-0.35
810.18,-0.35
818.28,-0.35
826.46,-0.37
834.73,-0.41
843.08,-0.41
851.51,-0.41
860.02,-0.41
868.62,-0.41
877.31,-0.41
886.08,-0.41
894.94,-0.38
903.89,-0.35
912.93,-0.35
922.06,-0.35
931.28,-0.32
940.59,-0.29
950.00,-0.25
959.50,-0.22
969.09,-0.17
978.78,-0.11
988.57,-0.06
998.46,-0.01
1008.44,0.05
1018.53,0.13
1028.71,0.21
1039.00,0.30
1049.39,0.40
1059.88,0.50
1070.48,0.62
1081.19,0.75
1092.00,0.87
1102.92,0.99
1113.95,1.12
1125.09,1.23
1136.34,1.37
1147.70,1.50
1159.18,1.60
1170.77,1.74
1182.48,1.88
1194.30,1.99
1206.25,2.14
1218.31,2.32
1230.49,2.48
1242.80,2.63
1255.22,2.78
1267.78,2.92
1280.45,3.04
1293.26,3.14
1306.19,3.30
1319.25,3.44
1332.45,3.59
1345.77,3.71
1359.23,3.82
1372.82,3.93
1386.55,4.05
1400.41,4.13
1414.42,4.21
1428.56,4.30
1442.85,4.40
1457.28,4.48
1471.85,4.56
1486.57,4.65
1501.43,4.72
1516.45,4.81
1531.61,4.88
1546.93,4.94
1562.40,5.00
1578.02,5.07
1593.80,5.12
1609.74,5.18
