frequency,raw
1008.44,0.03
1018.53,0.14
1028.71,0.23
1039.00,0.25
1049.39,0.34
1059.88,0.42
1070.48,0.54
1081.19,0.71
1092.00,0.89
1102.92,1.00
1113.95,1.13
1125.09,1.25
1136.34,1.32
1147.70,1.36
1159.18,1.46
1170.77,1.54
1182.48,1.62
1194.30,1.74
1206.25,1.92
1218.31,2.11
1230.49,2.28
1242.80,2.43
1255.22,2.57
1267.78,2.63
1280.45,2.71
1293.26,2.81
1306.19,2.95
1319.25,3.10
1332.45,3.20
1345.77,3.17
1359.23,3.19
1372.82,3.28
1386.55,3.25
1400.41,3.24
1414.42,3.32
1428.56,3.33
1442.85,3.29
1457.28,3.36
1471.85,3.46
1486.57,3.56
1501.43,3.66
1516.45,3.75
1531.61,3.76
1546.93,3.80
1562.40,3.91
1578.02,4.00
1593.80,4.01
1609.74,4.03
1625.84,4.09
1642.10,4.15
1658.52,4.25
1675.10,4.33
1691.85,4.45
1708.77,4.52
1725.86,4.58
1743.12,4.65
1760.55,4.73
1778.15,4.81
1795.94,4.89
1813.90,4.94
1832.03,5.02
1850.36,5.12
1868.86,5.22
1887.55,5.32
1906.42,5.44
1925.49,5.56
1944.74,5.66
1964.19,5.73
1983.83,5.83
2003.67,5.93
2023.71,6.00
2043.94,6.10
2064.38,6.20
2085.03,6.28
2105.88,6.37
2126.94,6.46
2148.20,6.55
2169.69,6.70
2191.38,6.87
2213.30,6.99
2235.43,7.07
2257.78,7.17
2280.36,7.28
2303.17,7.40
2326.20,7.47
2349.46,7.55
2372.95,7.64
2396.68,7.74
2420.65,7.84
2444.86,7.90
2469.31,7.96
2494.00,8.03
2518.94,8.13
2544.13,8.19
2569.57,8.22
2595.27,8.34
2621.22,8.47
2647.43,8.70
2673.90,8.92
2700.64,9.16
2727.65,9.34
2754.93,9.49
2782.48,9.63
2810.30,9.73
2838.40,9.82
2866.79,9.89
2895.46,9.92
2924.41,9.96
2953.65,9.96
2983.19,9.96
3013.02,9.96
3043.15,9.96
3073.58,9.99
3104.32,9.99
3135.36,9.94
3166.72,9.90
3198.38,9.87
3230.37,9.87
3262.67,9.85
3295.30,9.84
3328.25,9.81
3361.53,9.76
3395.15,9.72
3429.10,9.67
3463.39,9.64
3498.03,9.60
3533.01,9.60
3568.34,9.60
3604.02,9.56
3640.06,9.50
3676.46,9.47
3713.22,9.42
3750.36,9.38
3787.86,9.31
3825.74,9.23
3864.00,9.17
