* Measurement data measured by REW V5.20.4
* Source:
* Format:
* Dated: 2022/01/24 19:36:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note:
* Measurement: SRH840A R S1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 87.829 -151.7281
20.299999 87.866 -152.2170
20.600000 87.903 -152.6995
20.900000 87.939 -153.1807
21.200001 87.976 -153.6637
21.400000 88.001 -153.9863
21.799999 88.051 -154.6295
22.000000 88.075 -154.9484
22.400000 88.120 -155.5770
22.700001 88.152 -156.0380
23.000000 88.183 -156.4895
23.299999 88.214 -156.9333
23.600000 88.246 -157.3705
24.000000 88.288 -157.9445
24.299999 88.320 -158.3698
24.700001 88.360 -158.9320
25.000000 88.388 -159.3510
25.400000 88.425 -159.9054
25.799999 88.460 -160.4520
26.200001 88.492 -160.9865
26.500000 88.513 -161.3779
26.900000 88.538 -161.8870
27.200001 88.554 -162.2611
27.600000 88.573 -162.7537
28.000000 88.591 -163.2426
28.500000 88.611 -163.8508
29.000000 88.630 -164.4550
29.500000 88.645 -165.0520
30.000000 88.660 -165.6380
30.400000 88.672 -166.0966
30.700001 88.680 -166.4337
31.100000 88.692 -166.8734
31.500000 88.704 -167.3032
32.000000 88.719 -167.8309
32.500000 88.735 -168.3558
33.000000 88.750 -168.8849
33.500000 88.765 -169.4164
34.000000 88.779 -169.9384
34.500000 88.794 -170.4420
35.000000 88.813 -170.9361
35.500000 88.833 -171.4448
36.000000 88.851 -171.9824
36.500000 88.862 -172.5328
37.000000 88.865 -173.0587
37.500000 88.863 -173.5357
38.200001 88.858 -174.1407
38.700001 88.855 -174.5620
39.500000 88.846 -175.2372
40.000000 88.839 -175.6438
40.599998 88.830 -176.1113
41.200001 88.822 -176.5685
41.799999 88.815 -177.0186
42.500000 88.807 -177.5245
43.099998 88.802 -177.9385
43.700001 88.801 -178.3412
44.400002 88.803 -178.8036
45.000000 88.807 -179.1981
45.500000 88.813 -179.5312
46.200001 88.823 179.9876
46.799999 88.833 179.5594
47.500000 88.846 179.0426
48.200001 88.861 178.4994
48.700001 88.872 178.0868
49.400002 88.884 177.4724
50.000000 88.890 176.9230
50.799999 88.890 176.1783
51.500000 88.885 175.5188
52.200001 88.873 174.8520
53.000000 88.851 174.0979
53.799999 88.821 173.3719
54.500000 88.791 172.7547
55.200001 88.757 172.1447
56.000000 88.713 171.4648
57.000000 88.653 170.6560
58.000000 88.588 169.8780
59.000000 88.515 169.1530
60.000000 88.441 168.5021
60.799999 88.381 168.0115
61.500000 88.328 167.6003
62.200001 88.274 167.2119
63.000000 88.211 166.7955
64.000000 88.131 166.3136
65.000000 88.051 165.8786
66.000000 87.974 165.4884
67.000000 87.901 165.1342
68.000000 87.832 164.8109
69.000000 87.768 164.5160
70.000000 87.707 164.2536
71.000000 87.650 164.0448
72.000000 87.605 163.8825
73.000000 87.576 163.7051
74.000000 87.558 163.4382
75.000000 87.540 163.0756
76.199997 87.517 162.5424
77.500000 87.481 161.7920
78.800003 87.409 160.9659
80.000000 87.314 160.2901
81.199997 87.204 159.7511
82.500000 87.077 159.3363
83.800003 86.954 159.0692
85.000000 86.847 158.9051
86.199997 86.747 158.8089
87.500000 86.648 158.7728
88.500000 86.580 158.7796
90.000000 86.492 158.8506
91.199997 86.438 158.9409
92.500000 86.395 159.0198
93.800003 86.361 159.0665
95.000000 86.337 159.0809
96.199997 86.319 159.0621
97.500000 86.308 159.0033
98.800003 86.308 158.8900
100.000000 86.317 158.7109
101.500000 86.338 158.3482
103.000000 86.362 157.7951
104.400002 86.378 157.0816
106.000000 86.369 156.0353
107.500000 86.319 154.8889
109.000000 86.218 153.6951
110.599998 86.051 152.5366
112.000000 85.864 151.7520
113.800003 85.593 151.1765
115.000000 85.408 151.0728
117.199997 85.094 151.3837
118.000000 84.994 151.6208
120.599998 84.743 152.6129
122.000000 84.655 153.1527
124.099998 84.565 153.7621
125.000000 84.534 153.9230
126.500000 84.480 154.0566
128.000000 84.411 154.0521
131.500000 84.139 154.0851
132.000000 84.089 154.1756
134.000000 83.895 154.8689
136.000000 83.745 155.9857
138.000000 83.663 157.2900
140.000000 83.645 158.5723
143.000000 83.707 160.2190
145.000000 83.788 161.0582
147.500000 83.915 161.7840
150.000000 84.056 162.1419
152.500000 84.199 162.1485
155.000000 84.332 161.8304
157.500000 84.444 161.2301
160.000000 84.526 160.4242
162.500000 84.578 159.4778
165.000000 84.599 158.4185
167.500000 84.584 157.2780
170.000000 84.528 156.1037
172.500000 84.429 154.9643
175.000000 84.288 153.9262
177.500000 84.103 153.0874
180.000000 83.884 152.6095
182.500000 83.660 152.6022
185.000000 83.472 152.9879
187.500000 83.342 153.5457
190.000000 83.268 154.0478
192.500000 83.233 154.3053
195.000000 83.202 154.2639
197.500000 83.152 154.0213
200.000000 83.078 153.6994
203.000000 82.957 153.3186
206.000000 82.811 153.0103
209.000000 82.648 152.8065
212.000000 82.472 152.7221
214.000000 82.350 152.7418
218.000000 82.098 153.0047
220.000000 81.973 153.2552
224.000000 81.739 153.9489
227.000000 81.582 154.5573
230.000000 81.433 155.1713
233.000000 81.285 155.8206
236.000000 81.138 156.5610
240.000000 80.960 157.7074
243.000000 80.845 158.6514
247.000000 80.720 159.9306
250.000000 80.639 160.8745
254.000000 80.543 162.1374
258.000000 80.462 163.4218
262.000000 80.399 164.7107
265.000000 80.362 165.6722
269.000000 80.330 166.9530
272.000000 80.319 167.9062
276.000000 80.322 169.1462
280.000000 80.342 170.3135
285.000000 80.386 171.6319
290.000000 80.443 172.8003
295.000000 80.508 173.8362
300.000000 80.576 174.7547
304.000000 80.632 175.4027
307.000000 80.673 175.8356
311.000000 80.726 176.3501
315.000000 80.776 176.8196
320.000000 80.833 177.3865
325.000000 80.886 177.9315
330.000000 80.938 178.4214
335.000000 80.987 178.8599
340.000000 81.034 179.2799
345.000000 81.080 179.6871
350.000000 81.130 -179.9391
355.000000 81.181 -179.6272
360.000000 81.228 -179.3975
365.000000 81.266 -179.2287
370.000000 81.292 -179.0779
375.000000 81.310 -178.9161
382.000000 81.327 -178.6545
387.000000 81.336 -178.4356
395.000000 81.348 -178.0345
400.000000 81.356 -177.7662
406.000000 81.365 -177.4284
412.000000 81.374 -177.0610
418.000000 81.388 -176.6578
425.000000 81.416 -176.1559
431.000000 81.456 -175.7386
437.000000 81.510 -175.4023
444.000000 81.578 -175.1699
450.000000 81.627 -175.0903
455.000000 81.657 -175.0633
462.000000 81.687 -175.0251
468.000000 81.708 -174.9771
475.000000 81.730 -174.9236
482.000000 81.749 -174.8985
487.000000 81.758 -174.8972
494.000000 81.763 -174.8955
500.000000 81.762 -174.8747
508.000000 81.757 -174.8133
515.000000 81.751 -174.7419
522.000000 81.744 -174.6646
530.000000 81.734 -174.5681
538.000000 81.722 -174.4623
545.000000 81.709 -174.3755
552.000000 81.692 -174.3083
560.000000 81.666 -174.2528
570.000000 81.622 -174.1711
580.000000 81.568 -174.0116
590.000000 81.511 -173.7600
600.000000 81.460 -173.4511
608.000000 81.422 -173.1803
615.000000 81.392 -172.9245
622.000000 81.366 -172.6531
630.000000 81.344 -172.3428
640.000000 81.325 -172.0146
650.000000 81.306 -171.7938
660.000000 81.275 -171.6552
670.000000 81.226 -171.5297
680.000000 81.163 -171.3491
690.000000 81.092 -171.0914
700.000000 81.021 -170.7690
710.000000 80.951 -170.4031
720.000000 80.880 -170.0104
730.000000 80.808 -169.5895
740.000000 80.734 -169.1288
750.000000 80.658 -168.6195
762.000000 80.567 -167.9387
775.000000 80.469 -167.1074
788.000000 80.377 -166.1890
800.000000 80.304 -165.2801
812.000000 80.243 -164.3388
825.000000 80.190 -163.3186
838.000000 80.147 -162.3203
850.000000 80.109 -161.4205
862.000000 80.071 -160.5191
875.000000 80.030 -159.5140
885.000000 80.002 -158.7145
900.000000 79.971 -157.4766
912.000000 79.960 -156.4770
925.000000 79.962 -155.4266
938.000000 79.974 -154.4453
950.000000 79.990 -153.6205
962.000000 80.004 -152.8673
975.000000 80.010 -152.1009
988.000000 80.008 -151.3486
1000.000000 80.000 -150.6444
1015.000000 79.986 -149.7318
1030.000000 79.971 -148.7720
1044.000000 79.961 -147.8309
1060.000000 79.953 -146.7049
1075.000000 79.951 -145.6155
1090.000000 79.960 -144.5176
1106.000000 79.985 -143.3525
1120.000000 80.018 -142.3536
1138.000000 80.074 -141.1188
1150.000000 80.116 -140.3375
1172.000000 80.202 -139.0071
1180.000000 80.235 -138.5586
1206.000000 80.342 -137.2188
1220.000000 80.401 -136.5576
1241.000000 80.485 -135.6207
1250.000000 80.519 -135.2348
1265.000000 80.570 -134.6105
1280.000000 80.617 -134.0001
1315.000000 80.712 -132.5395
1320.000000 80.724 -132.3257
1340.000000 80.769 -131.4581
1360.000000 80.811 -130.5635
1380.000000 80.855 -129.6424
1400.000000 80.905 -128.7205
1430.000000 80.974 -127.3493
1450.000000 81.013 -126.3781
1475.000000 81.067 -125.0549
1500.000000 81.137 -123.6771
1525.000000 81.222 -122.3188
1550.000000 81.315 -121.0114
1575.000000 81.411 -119.7896
1600.000000 81.504 -118.6543
1625.000000 81.587 -117.5677
1650.000000 81.658 -116.4795
1675.000000 81.719 -115.3454
1700.000000 81.775 -114.1338
1725.000000 81.830 -112.8455
1750.000000 81.881 -111.4795
1775.000000 81.924 -109.9451
1800.000000 81.980 -108.0875
1825.000000 82.095 -105.9814
1850.000000 82.281 -103.9677
1875.000000 82.502 -102.2668
1900.000000 82.719 -100.8188
1925.000000 82.923 -99.4545
1950.000000 83.126 -98.0403
1975.000000 83.347 -96.5475
2000.000000 83.601 -95.0385
2030.000000 83.953 -93.4145
2060.000000 84.324 -92.1498
2090.000000 84.687 -91.0988
2120.000000 85.060 -90.0803
2140.000000 85.333 -89.4586
2180.000000 85.933 -88.7571
2200.000000 86.234 -88.7888
2240.000000 86.768 -89.5584
2270.000000 87.066 -90.3803
2300.000000 87.321 -90.8473
2330.000000 87.615 -91.1405
2360.000000 87.930 -91.7167
2400.000000 88.316 -92.9453
2430.000000 88.566 -94.0637
2470.000000 88.847 -95.6740
2500.000000 89.021 -96.8874
2540.000000 89.220 -98.4171
2580.000000 89.404 -99.9165
2620.000000 89.567 -101.5588
2650.000000 89.662 -102.8655
2690.000000 89.750 -104.6434
2720.000000 89.786 -106.0063
2760.000000 89.782 -107.7850
2800.000000 89.724 -109.3682
2850.000000 89.600 -110.9878
2900.000000 89.436 -112.1543
2950.000000 89.261 -112.8530
3000.000000 89.099 -113.1591
3040.000000 88.994 -113.2263
3070.000000 88.932 -113.2623
3110.000000 88.863 -113.4159
3150.000000 88.783 -113.7509
3200.000000 88.626 -114.2642
3250.000000 88.399 -114.5688
3300.000000 88.109 -114.3726
3350.000000 87.803 -113.3987
3400.000000 87.550 -111.7164
3450.000000 87.386 -109.6868
3500.000000 87.300 -107.5989
3550.000000 87.281 -105.5665
3600.000000 87.323 -103.7106
3650.000000 87.404 -102.1598
3700.000000 87.494 -100.8734
3750.000000 87.594 -99.7633
3820.000000 87.743 -98.5868
3870.000000 87.846 -98.0357
3950.000000 87.937 -97.8607
4000.000000 87.911 -97.8477
4060.000000 87.816 -97.5900
4120.000000 87.672 -96.8199
4180.000000 87.557 -95.3595
4250.000000 87.558 -93.4438
4310.000000 87.626 -92.3531
4370.000000 87.653 -91.7817
4440.000000 87.589 -91.0905
4500.000000 87.498 -90.1252
4550.000000 87.421 -89.1168
4620.000000 87.296 -87.4076
4680.000000 87.187 -85.2471
4750.000000 87.214 -81.8236
4820.000000 87.511 -78.5966
4870.000000 87.838 -77.1221
4940.000000 88.321 -76.6666
5000.000000 88.631 -77.6932
5080.000000 88.752 -80.0928
5150.000000 88.578 -81.8519
5220.000000 88.238 -82.4706
5300.000000 87.785 -81.6254
5380.000000 87.369 -79.4401
5450.000000 87.075 -76.8057
5520.000000 86.840 -73.7684
5600.000000 86.609 -69.8594
5700.000000 86.360 -63.4083
5800.000000 86.544 -54.3539
5900.000000 87.523 -45.9697
6000.000000 88.808 -41.7703
