* Measurement data measured by REW V5.19
* Source: D:\crinaclecom\Data\Targets\IEF Neutral.csv
* Format: Comma/Tab/Space delimited data
* Dated: 28 Jun, 2020 12:55:11 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from D:\crinaclecom\Data\Targets\IEF Neutral.csv Format: Comma/Tab/Space delimited data 500 values loaded, 10 Hz to 20,000 Hz 
* Measurement: IEF Neutral.csv
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
182.206, 59.850, 0
184.856, 59.850, 0
187.545, 59.850, 0
190.273, 59.850, 0
193.041, 59.850, 0
195.849, 59.850, 0
198.697, 59.850, 0
201.587, 59.850, 0
204.520, 59.850, 0
207.494, 59.850, 0
210.512, 59.850, 0
213.574, 59.850, 0
216.681, 59.850, 0
219.833, 59.850, 0
223.030, 59.850, 0
226.274, 59.850, 0
229.565, 59.850, 0
232.905, 59.850, 0
236.292, 59.850, 0
239.729, 59.850, 0
243.216, 59.850, 0
246.754, 59.850, 0
250.343, 59.850, 0
253.984, 59.850, 0
257.678, 59.850, 0
261.426, 59.850, 0
265.229, 59.850, 0
269.087, 59.850, 0
273.001, 59.850, 0
276.972, 59.850, 0
281.000, 59.850, 0
285.088, 59.850, 0
289.234, 59.850, 0
293.441, 59.850, 0
297.710, 59.850, 0
302.040, 59.850, 0
306.433, 59.850, 0
310.890, 59.850, 0
315.412, 59.850, 0
320.000, 59.850, 0
324.655, 59.850, 0
329.377, 59.850, 0
334.168, 59.850, 0
339.028, 59.850, 0
343.959, 59.850, 0
348.962, 59.850, 0
354.038, 59.850, 0
359.188, 59.850, 0
364.412, 59.850, 0
369.713, 59.850, 0
375.090, 59.850, 0
380.546, 59.850, 0
386.081, 59.850, 0
391.697, 59.850, 0
397.395, 59.850, 0
403.175, 59.850, 0
409.039, 59.850, 0
414.989, 59.850, 0
421.025, 59.850, 0
427.149, 59.850, 0
433.362, 59.850, 0
439.665, 59.850, 0
446.060, 59.850, 0
452.548, 59.850, 0
459.131, 59.850, 0
465.809, 59.850, 0
472.584, 59.850, 0
479.458, 59.850, 0
486.432, 59.850, 0
493.507, 59.850, 0
500.686, 59.850, 0
507.968, 59.850, 0
515.357, 59.850, 0
522.853, 59.850, 0
530.458, 59.850, 0
538.174, 59.850, 0
546.002, 59.850, 0
553.943, 59.850, 0
562.001, 59.850, 0
570.175, 59.850, 0
578.469, 59.850, 0
586.883, 59.850, 0
595.419, 59.850, 0
604.080, 59.850, 0
612.866, 59.850, 0
621.780, 59.850, 0
630.824, 59.850, 0
640.000, 59.850, 0
649.309, 59.850, 0
658.753, 59.850, 0
668.335, 59.850, 0
678.056, 59.850, 0
687.919, 59.850, 0
697.925, 59.850, 0
708.076, 59.850, 0
718.376, 59.850, 0
