* Measurement data measured by REW V5.20.7
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Jun 13, 2022 12:22:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times B A = IEF Neutral (iem) B = Default Dataset
* Measurement: A times B
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz), SPL(dB)
152.500000, 2.702
155.000000, 2.676
157.500000, 2.697
160.000000, 2.730
162.500000, 2.682
165.000000, 2.622
167.500000, 2.622
170.000000, 2.615
172.500000, 2.557
175.000000, 2.507
177.500000, 2.499
180.000000, 2.484
182.500000, 2.433
185.000000, 2.389
187.500000, 2.376
190.000000, 2.371
192.500000, 2.365
195.000000, 2.354
197.500000, 2.329
200.000000, 2.301
203.000000, 2.291
206.000000, 2.292
209.000000, 2.274
212.000000, 2.241
214.000000, 2.219
218.000000, 2.179
220.000000, 2.165
224.000000, 2.146
227.000000, 2.134
230.000000, 2.121
233.000000, 2.102
236.000000, 2.077
240.000000, 2.029
243.000000, 1.985
247.000000, 1.928
250.000000, 1.889
254.000000, 1.841
258.000000, 1.797
262.000000, 1.761
265.000000, 1.737
269.000000, 1.702
272.000000, 1.674
276.000000, 1.643
280.000000, 1.622
285.000000, 1.607
290.000000, 1.594
295.000000, 1.555
300.000000, 1.501
304.000000, 1.454
307.000000, 1.419
311.000000, 1.381
315.000000, 1.345
320.000000, 1.294
325.000000, 1.238
330.000000, 1.188
335.000000, 1.141
340.000000, 1.094
345.000000, 1.048
350.000000, 1.000
355.000000, 0.958
360.000000, 0.927
365.000000, 0.900
370.000000, 0.872
375.000000, 0.843
382.000000, 0.791
387.000000, 0.755
395.000000, 0.706
400.000000, 0.666
406.000000, 0.607
412.000000, 0.543
418.000000, 0.481
425.000000, 0.439
431.000000, 0.416
437.000000, 0.377
444.000000, 0.327
450.000000, 0.308
455.000000, 0.298
462.000000, 0.267
468.000000, 0.229
475.000000, 0.188
482.000000, 0.147
487.000000, 0.108
494.000000, 0.047
500.000000, 0.000
508.000000, -0.045
515.000000, -0.083
522.000000, -0.122
530.000000, -0.160
538.000000, -0.190
545.000000, -0.223
552.000000, -0.264
560.000000, -0.307
570.000000, -0.345
580.000000, -0.381
590.000000, -0.417
600.000000, -0.447
608.000000, -0.470
615.000000, -0.494
622.000000, -0.518
630.000000, -0.545
640.000000, -0.578
650.000000, -0.613
660.000000, -0.652
670.000000, -0.702
680.000000, -0.756
690.000000, -0.809
700.000000, -0.858
710.000000, -0.896
720.000000, -0.928
730.000000, -0.960
740.000000, -0.986
750.000000, -1.003
762.000000, -1.018
775.000000, -1.034
788.000000, -1.059
800.000000, -1.097
812.000000, -1.134
825.000000, -1.167
838.000000, -1.199
850.000000, -1.146
862.000000, -1.133
875.000000, -1.171
885.000000, -1.196
900.000000, -1.152
912.000000, -1.134
925.000000, -1.103
938.000000, -1.057
950.000000, -1.023
962.000000, -0.926
975.000000, -0.858
988.000000, -0.846
1000.000000, -0.733
1015.000000, -0.591
1030.000000, -0.469
1044.000000, -0.266
1060.000000, -0.125
1075.000000, -0.001
1090.000000, 0.223
1106.000000, 0.381
1120.000000, 0.595
1138.000000, 0.788
1150.000000, 0.958
1172.000000, 1.201
1180.000000, 1.310
1206.000000, 1.722
1220.000000, 1.859
