frequency,raw
20.00,15.97
20.20,15.95
20.40,15.93
20.61,15.91
20.81,15.88
21.02,15.84
21.23,15.79
21.44,15.74
21.66,15.70
21.87,15.65
22.09,15.57
22.31,15.55
22.54,15.48
22.76,15.42
22.99,15.37
23.22,15.32
23.45,15.27
23.69,15.21
23.92,15.16
24.16,15.10
24.40,15.05
24.65,15.00
24.89,14.95
25.14,14.91
25.39,14.86
25.65,14.81
25.91,14.76
26.16,14.71
26.43,14.67
26.69,14.62
26.96,14.58
27.23,14.53
27.50,14.48
27.77,14.42
28.05,14.38
28.33,14.33
28.62,14.26
28.90,14.20
29.19,14.15
29.48,14.07
29.78,14.01
30.08,13.95
30.38,13.88
30.68,13.82
30.99,13.75
31.30,13.69
31.61,13.63
31.93,13.57
32.24,13.50
32.57,13.44
32.89,13.39
33.22,13.32
33.55,13.25
33.89,13.20
34.23,13.14
34.57,13.07
34.92,13.02
35.27,12.96
35.62,12.90
35.97,12.84
36.33,12.79
36.70,12.72
37.06,12.66
37.43,12.59
37.81,12.52
38.19,12.46
38.57,12.39
38.95,12.33
39.34,12.25
39.74,12.18
40.14,12.11
40.54,12.05
40.94,11.98
41.35,11.92
41.76,11.85
42.18,11.78
42.60,11.71
43.03,11.65
43.46,11.59
43.90,11.52
44.33,11.46
44.78,11.39
45.23,11.33
45.68,11.26
46.13,11.19
46.60,11.13
47.06,11.05
47.53,10.99
48.01,10.92
48.49,10.86
48.97,10.78
49.46,10.70
49.96,10.63
50.46,10.57
50.96,10.49
51.47,10.44
51.99,10.36
52.51,10.28
53.03,10.21
53.56,10.14
54.10,10.07
54.64,10.01
55.18,9.93
55.74,9.85
56.29,9.78
56.86,9.72
57.42,9.63
58.00,9.56
58.58,9.49
59.16,9.42
59.76,9.34
60.35,9.26
60.96,9.21
61.57,9.11
62.18,9.05
62.80,8.98
63.43,8.92
64.07,8.82
64.71,8.75
65.35,8.69
66.01,8.61
66.67,8.54
67.33,8.46
68.01,8.40
68.69,8.33
69.37,8.25
70.07,8.17
70.77,8.11
71.48,8.04
72.19,7.96
72.91,7.88
73.64,7.82
74.38,7.75
75.12,7.69
75.87,7.61
76.63,7.53
77.40,7.46
78.17,7.40
78.95,7.33
79.74,7.27
80.54,7.18
81.35,7.13
82.16,7.05
82.98,6.99
83.81,6.92
84.65,6.85
85.50,6.79
86.35,6.72
87.22,6.66
88.09,6.59
88.97,6.52
89.86,6.45
90.76,6.38
91.66,6.32
92.58,6.24
93.51,6.17
94.44,6.09
95.39,6.03
96.34,5.96
97.30,5.90
98.28,5.82
99.26,5.76
100.25,5.68
101.25,5.62
102.27,5.55
103.29,5.49
104.32,5.42
105.37,5.35
106.42,5.29
107.48,5.24
108.56,5.17
109.64,5.11
110.74,5.06
111.85,4.99
112.97,4.92
114.10,4.87
115.24,4.81
116.39,4.74
117.55,4.69
118.73,4.63
119.92,4.56
121.12,4.50
122.33,4.44
123.55,4.38
124.79,4.32
126.03,4.26
127.29,4.19
128.57,4.14
129.85,4.08
131.15,4.01
132.46,3.95
133.79,3.88
135.12,3.83
136.48,3.76
137.84,3.70
139.22,3.65
140.61,3.58
142.02,3.52
143.44,3.46
144.87,3.40
146.32,3.35
147.78,3.28
149.26,3.23
150.75,3.18
152.26,3.12
153.78,3.06
155.32,3.01
156.88,2.96
158.44,2.91
160.03,2.86
161.63,2.82
163.24,2.77
164.88,2.71
166.53,2.67
168.19,2.64
169.87,2.59
171.57,2.54
173.29,2.50
175.02,2.45
176.77,2.41
178.54,2.36
180.32,2.31
182.13,2.27
183.95,2.22
185.79,2.18
187.65,2.14
189.52,2.09
191.42,2.04
193.33,2.01
195.27,1.95
197.22,1.92
199.19,1.86
201.18,1.82
203.19,1.78
205.23,1.73
207.28,1.69
209.35,1.64
211.44,1.60
213.56,1.55
215.69,1.50
217.85,1.46
220.03,1.42
222.23,1.37
224.45,1.33
226.70,1.29
228.96,1.25
231.25,1.20
233.57,1.16
235.90,1.13
238.26,1.07
240.64,1.04
243.05,1.01
245.48,0.95
247.93,0.92
250.41,0.89
252.92,0.83
255.45,0.80
258.00,0.76
260.58,0.71
263.19,0.69
265.82,0.64
268.48,0.62
271.16,0.58
273.87,0.53
276.61,0.51
279.38,0.46
282.17,0.44
284.99,0.40
287.84,0.37
290.72,0.34
293.63,0.30
296.57,0.28
299.53,0.23
302.53,0.21
305.55,0.16
308.61,0.14
311.69,0.10
314.81,0.10
317.96,0.04
321.14,0.02
324.35,-0.03
327.59,-0.04
330.87,-0.08
334.18,-0.09
337.52,-0.14
340.90,-0.15
344.30,-0.18
347.75,-0.21
351.23,-0.23
354.74,-0.27
358.28,-0.28
361.87,-0.32
365.49,-0.33
369.14,-0.38
372.83,-0.39
376.56,-0.41
380.33,-0.45
384.13,-0.45
387.97,-0.48
391.85,-0.51
395.77,-0.51
399.73,-0.54
403.72,-0.57
407.76,-0.57
411.84,-0.57
415.96,-0.62
420.12,-0.63
424.32,-0.63
428.56,-0.64
432.85,-0.69
437.18,-0.70
441.55,-0.70
445.96,-0.70
450.42,-0.70
454.93,-0.73
459.48,-0.76
464.07,-0.76
468.71,-0.76
473.40,-0.76
478.13,-0.76
482.91,-0.76
487.74,-0.77
492.62,-0.79
497.55,-0.81
502.52,-0.82
507.55,-0.82
512.62,-0.83
517.75,-0.87
522.93,-0.88
528.16,-0.93
533.44,-0.96
538.77,-1.01
544.16,-1.05
549.60,-1.11
555.10,-1.15
560.65,-1.18
566.25,-1.21
571.92,-1.24
577.64,-1.24
583.41,-1.24
589.25,-1.26
595.14,-1.27
601.09,-1.27
607.10,-1.27
613.17,-1.25
619.30,-1.24
625.50,-1.24
631.75,-1.24
638.07,-1.24
644.45,-1.24
650.89,-1.24
657.40,-1.21
663.98,-1.18
670.62,-1.18
677.32,-1.18
684.10,-1.18
690.94,-1.18
697.85,-1.15
704.83,-1.12
711.87,-1.12
718.99,-1.12
726.18,-1.10
733.44,-1.07
740.78,-1.06
748.19,-1.06
755.67,-1.05
763.23,-1.00
770.86,-1.00
778.57,-0.99
786.35,-0.94
794.22,-0.94
802.16,-0.91
810.18,-0.88
818.28,-0.86
826.46,-0.82
834.73,-0.79
843.08,-0.76
851.51,-0.71
860.02,-0.66
868.62,-0.62
877.31,-0.57
886.08,-0.51
894.94,-0.46
903.89,-0.41
912.93,-0.36
922.06,-0.31
931.28,-0.26
940.59,-0.21
950.00,-0.16
959.50,-0.14
969.09,-0.09
978.78,-0.08
988.57,-0.04
998.46,-0.01
1008.44,0.04
1018.53,0.10
1028.71,0.17
1039.00,0.24
1049.39,0.32
1059.88,0.40
1070.48,0.50
1081.19,0.57
1092.00,0.67
1102.92,0.76
1113.95,0.85
1125.09,0.95
1136.34,1.02
1147.70,1.12
1159.18,1.20
1170.77,1.28
1182.48,1.36
1194.30,1.46
1206.25,1.54
1218.31,1.62
1230.49,1.71
1242.80,1.78
1255.22,1.86
1267.78,1.93
1280.45,2.01
1293.26,2.09
1306.19,2.15
1319.25,2.22
1332.45,2.31
1345.77,2.38
1359.23,2.44
1372.82,2.51
1386.55,2.57
1400.41,2.64
1414.42,2.74
1428.56,2.80
1442.85,2.87
1457.28,2.93
1471.85,3.00
1486.57,3.07
1501.43,3.13
1516.45,3.21
1531.61,3.27
1546.93,3.34
1562.40,3.41
1578.02,3.47
1593.80,3.54
1609.74,3.61
1625.84,3.66
1642.10,3.74
1658.52,3.81
1675.10,3.88
1691.85,3.95
1708.77,4.01
1725.86,4.08
1743.12,4.16
1760.55,4.24
1778.15,4.32
1795.94,4.39
1813.90,4.48
1832.03,4.56
1850.36,4.67
1868.86,4.74
1887.55,4.84
1906.42,4.94
1925.49,5.04
1944.74,5.14
1964.19,5.24
1983.83,5.34
2003.67,5.46
2023.71,5.58
2043.94,5.69
2064.38,5.82
2085.03,5.93
2105.88,6.06
2126.94,6.19
2148.20,6.31
