* Measurement data measured by REW V5.19
* Source: C:\Users\Admin\Desktop\a.csv
* Format: Comma/Tab/Space delimited data
* Dated: Nov 20, 2021 6:16:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\Admin\Desktop\a.csv Format: Comma/Tab/Space delimited data 944 values loaded, 20 Hz to 20,000 Hz
* Measurement: a.csv
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 20.4 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
65.830, 0.551, 0
66.307, 0.539, 0
66.788, 0.521, 0
67.272, 0.520, 0
67.759, 0.521, 0
68.250, 0.512, 0
68.745, 0.494, 0
69.243, 0.464, 0
69.745, 0.464, 0
70.250, 0.497, 0
70.759, 0.516, 0
71.272, 0.522, 0
71.788, 0.494, 0
72.309, 0.491, 0
72.833, 0.481, 0
73.360, 0.460, 0
73.892, 0.460, 0
74.427, 0.460, 0
74.967, 0.465, 0
75.510, 0.491, 0
76.057, 0.491, 0
76.608, 0.475, 0
77.163, 0.480, 0
77.723, 0.485, 0
78.286, 0.458, 0
78.853, 0.460, 0
79.424, 0.460, 0
80.000, 0.460, 0
80.580, 0.460, 0
81.164, 0.460, 0
81.752, 0.460, 0
82.344, 0.460, 0
82.941, 0.490, 0
83.542, 0.500, 0
84.147, 0.500, 0
84.757, 0.500, 0
85.371, 0.500, 0
85.990, 0.470, 0
86.613, 0.470, 0
87.241, 0.470, 0
87.873, 0.469, 0
88.510, 0.497, 0
89.151, 0.506, 0
89.797, 0.534, 0
90.448, 0.514, 0
91.103, 0.498, 0
91.763, 0.528, 0
92.428, 0.531, 0
93.098, 0.524, 0
93.773, 0.492, 0
94.452, 0.471, 0
95.137, 0.470, 0
95.826, 0.478, 0
96.520, 0.468, 0
97.220, 0.488, 0
97.924, 0.493, 0
98.634, 0.487, 0
99.349, 0.464, 0
100.069, 0.477, 0
100.794, 0.469, 0
101.524, 0.470, 0
102.260, 0.467, 0
103.001, 0.429, 0
103.747, 0.416, 0
104.499, 0.399, 0
105.256, 0.400, 0
106.019, 0.400, 0
106.787, 0.400, 0
107.561, 0.404, 0
108.340, 0.425, 0
109.126, 0.430, 0
109.916, 0.429, 0
110.713, 0.413, 0
111.515, 0.405, 0
112.323, 0.403, 0
113.137, 0.400, 0
113.957, 0.400, 0
114.783, 0.400, 0
115.614, 0.400, 0
116.452, 0.400, 0
117.296, 0.400, 0
118.146, 0.400, 0
119.002, 0.401, 0
119.865, 0.394, 0
120.733, 0.382, 0
121.608, 0.370, 0
122.489, 0.370, 0
123.377, 0.365, 0
124.271, 0.366, 0
125.171, 0.379, 0
126.078, 0.397, 0
126.992, 0.360, 0
127.912, 0.337, 0
128.839, 0.362, 0
129.773, 0.370, 0
130.713, 0.382, 0
131.660, 0.401, 0
132.615, 0.402, 0
133.575, 0.379, 0
134.543, 0.341, 0
135.518, 0.344, 0
136.500, 0.366, 0
137.490, 0.343, 0
138.486, 0.340, 0
139.489, 0.340, 0
140.500, 0.337, 0
141.518, 0.322, 0
142.544, 0.337, 0
143.577, 0.340, 0
144.617, 0.338, 0
145.665, 0.293, 0
146.721, 0.316, 0
147.784, 0.301, 0
148.855, 0.297, 0
149.933, 0.308, 0
151.020, 0.283, 0
152.114, 0.302, 0
153.217, 0.288, 0
154.327, 0.253, 0
155.445, 0.252, 0
156.572, 0.282, 0
157.706, 0.277, 0
158.849, 0.249, 0
160.000, 0.221, 0
161.159, 0.220, 0
162.327, 0.220, 0
163.504, 0.220, 0
164.688, 0.220, 0
165.882, 0.220, 0
167.084, 0.220, 0
168.295, 0.222, 0
169.514, 0.203, 0
170.742, 0.189, 0
171.980, 0.190, 0
173.226, 0.222, 0
174.481, 0.214, 0
175.746, 0.182, 0
177.019, 0.151, 0
178.302, 0.181, 0
179.594, 0.203, 0
180.895, 0.160, 0
182.206, 0.148, 0
183.527, 0.167, 0
184.856, 0.169, 0
186.196, 0.148, 0
187.545, 0.159, 0
188.904, 0.171, 0
190.273, 0.151, 0
191.652, 0.171, 0
193.041, 0.167, 0
194.440, 0.158, 0
195.849, 0.175, 0
197.268, 0.181, 0
198.697, 0.165, 0
200.137, 0.206, 0
201.587, 0.193, 0
203.048, 0.194, 0
204.520, 0.200, 0
206.002, 0.203, 0
207.494, 0.221, 0
208.998, 0.226, 0
210.512, 0.229, 0
212.038, 0.250, 0
213.574, 0.255, 0
215.122, 0.222, 0
216.681, 0.252, 0
218.251, 0.263, 0
219.833, 0.251, 0
221.426, 0.274, 0
223.030, 0.246, 0
224.646, 0.270, 0
226.274, 0.283, 0
227.914, 0.230, 0
229.565, 0.253, 0
231.229, 0.258, 0
232.905, 0.227, 0
234.592, 0.249, 0
236.292, 0.229, 0
238.004, 0.234, 0
239.729, 0.231, 0
241.466, 0.212, 0
243.216, 0.200, 0
244.979, 0.212, 0
246.754, 0.219, 0
248.542, 0.185, 0
250.343, 0.193, 0
252.157, 0.191, 0
253.984, 0.164, 0
255.825, 0.185, 0
257.678, 0.162, 0
259.546, 0.168, 0
261.426, 0.170, 0
263.321, 0.155, 0
265.229, 0.148, 0
267.151, 0.148, 0
269.087, 0.139, 0
271.037, 0.140, 0
273.001, 0.148, 0
274.979, 0.139, 0
276.972, 0.141, 0
278.979, 0.130, 0
281.000, 0.150, 0
283.037, 0.130, 0
285.088, 0.123, 0
287.153, 0.142, 0
289.234, 0.131, 0
291.330, 0.127, 0
293.441, 0.119, 0
295.568, 0.133, 0
297.710, 0.096, 0
299.867, 0.089, 0
302.040, 0.109, 0
304.228, 0.099, 0
306.433, 0.101, 0
308.654, 0.084, 0
310.890, 0.080, 0
313.143, 0.072, 0
315.412, 0.050, 0
317.698, 0.079, 0
320.000, 0.056, 0
322.319, 0.030, 0
324.655, 0.037, 0
327.007, 0.009, 0
329.377, 0.011, 0
331.764, 0.039, 0
334.168, 0.010, 0
336.589, 0.005, 0
339.028, -0.011, 0
341.485, -0.009, 0
343.959, -0.028, 0
346.452, -0.030, 0
348.962, -0.030, 0
351.491, -0.029, 0
354.038, -0.038, 0
356.604, -0.030, 0
359.188, -0.043, 0
361.791, -0.050, 0
364.412, -0.045, 0
367.053, -0.062, 0
369.713, -0.050, 0
372.392, -0.069, 0
375.090, -0.067, 0
377.809, -0.077, 0
380.546, -0.044, 0
383.304, -0.079, 0
386.081, -0.062, 0
388.879, -0.063, 0
391.697, -0.048, 0
394.536, -0.067, 0
397.395, -0.070, 0
400.274, -0.067, 0
403.175, -0.064, 0
406.096, -0.063, 0
409.039, -0.069, 0
412.003, -0.060, 0
414.989, -0.064, 0
417.996, -0.056, 0
421.025, -0.046, 0
424.076, -0.040, 0
427.149, -0.068, 0
430.244, -0.044, 0
433.362, -0.062, 0
436.502, -0.043, 0
439.665, -0.068, 0
442.851, -0.054, 0
446.060, -0.068, 0
449.293, -0.042, 0
452.548, -0.068, 0
455.828, -0.040, 0
459.131, -0.080, 0
462.458, -0.069, 0
465.809, -0.077, 0
469.184, -0.072, 0
472.584, -0.080, 0
476.009, -0.095, 0
479.458, -0.106, 0
482.933, -0.113, 0
486.432, -0.112, 0
489.957, -0.121, 0
493.507, -0.133, 0
497.084, -0.127, 0
500.686, -0.146, 0
504.314, -0.130, 0
507.968, -0.150, 0
511.649, -0.150, 0
515.357, -0.155, 0
519.091, -0.161, 0
522.853, -0.151, 0
526.642, -0.160, 0
530.458, -0.162, 0
