frequency,raw
20.00,11.03
20.20,11.03
20.40,11.04
20.61,11.06
20.81,11.06
21.02,11.06
21.23,11.06
21.44,11.06
21.66,11.06
21.87,11.06
22.09,11.06
22.31,11.06
22.54,11.06
22.76,11.06
22.99,11.06
23.22,11.06
23.45,11.06
23.69,11.06
23.92,11.06
24.16,11.06
24.40,11.06
24.65,11.06
24.89,11.06
25.14,11.06
25.39,11.06
25.65,11.06
25.91,11.06
26.16,11.06
26.43,11.06
26.69,11.06
26.96,11.06
27.23,11.06
27.50,11.06
27.77,11.04
28.05,11.00
28.33,10.97
28.62,10.96
28.90,10.95
29.19,10.95
29.48,10.95
29.78,10.95
30.08,10.95
30.38,10.95
30.68,10.95
30.99,10.95
31.30,10.94
31.61,10.93
31.93,10.91
32.24,10.90
32.57,10.89
32.89,10.89
33.22,10.89
33.55,10.89
33.89,10.86
34.23,10.84
34.57,10.83
34.92,10.83
35.27,10.83
35.62,10.81
35.97,10.80
36.33,10.78
36.70,10.77
37.06,10.77
37.43,10.75
37.81,10.73
38.19,10.71
38.57,10.71
38.95,10.70
39.34,10.68
39.74,10.66
40.14,10.65
40.54,10.64
40.94,10.62
41.35,10.61
41.76,10.59
42.18,10.56
42.60,10.55
43.03,10.54
43.46,10.52
43.90,10.51
44.33,10.48
44.78,10.46
45.23,10.45
45.68,10.43
46.13,10.41
46.60,10.40
47.06,10.37
47.53,10.36
48.01,10.34
48.49,10.31
48.97,10.29
49.46,10.27
49.96,10.25
50.46,10.21
50.96,10.19
51.47,10.17
51.99,10.14
52.51,10.13
53.03,10.10
53.56,10.08
54.10,10.06
54.64,10.04
55.18,10.01
55.74,9.98
56.29,9.96
56.86,9.94
57.42,9.92
58.00,9.89
58.58,9.86
59.16,9.84
59.76,9.80
60.35,9.76
60.96,9.75
61.57,9.72
62.18,9.69
62.80,9.66
63.43,9.63
64.07,9.60
64.71,9.57
65.35,9.54
66.01,9.51
66.67,9.48
67.33,9.45
68.01,9.41
68.69,9.38
69.37,9.34
70.07,9.31
70.77,9.27
71.48,9.24
72.19,9.22
72.91,9.18
73.64,9.14
74.38,9.10
75.12,9.07
75.87,9.03
76.63,9.00
77.40,8.96
78.17,8.92
78.95,8.88
79.74,8.85
80.54,8.81
81.35,8.76
82.16,8.72
82.98,8.69
83.81,8.64
84.65,8.59
85.50,8.55
86.35,8.52
87.22,8.47
88.09,8.43
88.97,8.39
89.86,8.35
90.76,8.31
91.66,8.27
92.58,8.22
93.51,8.17
94.44,8.13
95.39,8.08
96.34,8.04
97.30,8.00
98.28,7.95
99.26,7.89
100.25,7.84
101.25,7.79
102.27,7.74
103.29,7.69
104.32,7.64
105.37,7.60
106.42,7.55
107.48,7.51
108.56,7.46
109.64,7.40
110.74,7.36
111.85,7.31
112.97,7.25
114.10,7.20
115.24,7.14
116.39,7.09
117.55,7.04
118.73,6.99
119.92,6.94
121.12,6.90
122.33,6.84
123.55,6.79
124.79,6.74
126.03,6.70
127.29,6.66
128.57,6.60
129.85,6.55
131.15,6.51
132.46,6.46
133.79,6.41
135.12,6.36
136.48,6.31
137.84,6.27
139.22,6.22
140.61,6.16
142.02,6.11
143.44,6.05
144.87,5.98
146.32,5.93
147.78,5.89
149.26,5.84
150.75,5.79
152.26,5.73
153.78,5.69
155.32,5.66
156.88,5.63
158.44,5.58
160.03,5.53
161.63,5.49
163.24,5.43
164.88,5.39
166.53,5.34
168.19,5.28
169.87,5.21
171.57,5.14
173.29,5.09
175.02,5.03
176.77,4.96
178.54,4.90
180.32,4.84
182.13,4.76
183.95,4.70
185.79,4.65
187.65,4.59
189.52,4.53
191.42,4.49
193.33,4.43
195.27,4.38
197.22,4.34
199.19,4.28
201.18,4.24
203.19,4.19
205.23,4.15
207.28,4.10
209.35,4.04
211.44,3.99
213.56,3.93
215.69,3.87
217.85,3.82
220.03,3.77
222.23,3.73
224.45,3.67
226.70,3.61
228.96,3.55
231.25,3.48
233.57,3.43
235.90,3.37
238.26,3.31
240.64,3.27
243.05,3.21
245.48,3.15
247.93,3.09
250.41,3.03
252.92,2.96
255.45,2.91
258.00,2.86
260.58,2.80
263.19,2.75
265.82,2.69
268.48,2.63
271.16,2.58
273.87,2.51
276.61,2.45
279.38,2.39
282.17,2.33
284.99,2.28
287.84,2.23
290.72,2.18
293.63,2.12
296.57,2.06
299.53,2.01
302.53,1.95
305.55,1.90
308.61,1.85
311.69,1.79
314.81,1.74
317.96,1.68
321.14,1.63
324.35,1.57
327.59,1.52
330.87,1.47
334.18,1.41
337.52,1.36
340.90,1.31
344.30,1.26
347.75,1.21
351.23,1.15
354.74,1.10
358.28,1.06
361.87,1.00
365.49,0.95
369.14,0.89
372.83,0.85
376.56,0.80
380.33,0.76
384.13,0.71
387.97,0.66
391.85,0.61
395.77,0.56
399.73,0.51
403.72,0.46
407.76,0.43
411.84,0.39
415.96,0.34
420.12,0.29
424.32,0.25
428.56,0.21
432.85,0.16
437.18,0.12
441.55,0.07
445.96,0.04
450.42,-0.01
454.93,-0.05
459.48,-0.08
464.07,-0.13
468.71,-0.16
473.40,-0.21
478.13,-0.24
482.91,-0.28
487.74,-0.32
492.62,-0.35
497.55,-0.39
502.52,-0.43
507.55,-0.46
512.62,-0.49
517.75,-0.53
522.93,-0.56
528.16,-0.59
533.44,-0.61
538.77,-0.66
544.16,-0.68
549.60,-0.71
555.10,-0.74
560.65,-0.77
566.25,-0.79
571.92,-0.81
577.64,-0.83
583.41,-0.87
589.25,-0.89
595.14,-0.92
601.09,-0.94
607.10,-0.96
613.17,-0.99
619.30,-1.00
625.50,-1.01
631.75,-1.03
638.07,-1.06
644.45,-1.07
650.89,-1.11
657.40,-1.13
663.98,-1.13
670.62,-1.14
677.32,-1.15
684.10,-1.16
690.94,-1.18
697.85,-1.19
704.83,-1.19
711.87,-1.19
718.99,-1.19
726.18,-1.19
733.44,-1.19
740.78,-1.19
748.19,-1.18
755.67,-1.17
763.23,-1.16
770.86,-1.16
778.57,-1.13
786.35,-1.13
794.22,-1.13
802.16,-1.11
810.18,-1.08
818.28,-1.05
826.46,-1.00
834.73,-0.96
843.08,-0.91
851.51,-0.87
860.02,-0.84
868.62,-0.81
877.31,-0.77
886.08,-0.71
894.94,-0.68
903.89,-0.63
912.93,-0.57
922.06,-0.52
931.28,-0.46
940.59,-0.40
950.00,-0.34
959.50,-0.29
969.09,-0.22
978.78,-0.15
988.57,-0.07
998.46,-0.01
1008.44,0.06
1018.53,0.15
1028.71,0.21
1039.00,0.30
1049.39,0.38
1059.88,0.46
1070.48,0.54
1081.19,0.62
1092.00,0.71
1102.92,0.80
1113.95,0.89
1125.09,0.99
1136.34,1.07
1147.70,1.16
1159.18,1.25
1170.77,1.35
1182.48,1.44
1194.30,1.52
1206.25,1.62
1218.31,1.71
1230.49,1.80
1242.80,1.90
1255.22,1.99
1267.78,2.09
1280.45,2.18
1293.26,2.26
1306.19,2.38
1319.25,2.48
1332.45,2.56
1345.77,2.64
1359.23,2.76
1372.82,2.87
1386.55,2.97
1400.41,3.06
1414.42,3.16
1428.56,3.25
1442.85,3.35
1457.28,3.46
1471.85,3.57
1486.57,3.67
1501.43,3.78
1516.45,3.89
1531.61,4.00
1546.93,4.11
1562.40,4.22
1578.02,4.32
1593.80,4.46
1609.74,4.59
1625.84,4.71
1642.10,4.82
1658.52,4.93
1675.10,5.06
1691.85,5.20
1708.77,5.32
1725.86,5.42
1743.12,5.54
1760.55,5.68
1778.15,5.81
1795.94,5.92
1813.90,6.04
1832.03,6.18
1850.36,6.30
1868.86,6.41
1887.55,6.52
1906.42,6.63
1925.49,6.74
1944.74,6.84
1964.19,6.96
1983.83,7.06
2003.67,7.14
2023.71,7.21
2043.94,7.29
2064.38,7.35
2085.03,7.42
2105.88,7.46
2126.94,7.49
2148.20,7.53
2169.69,7.56
2191.38,7.56
2213.30,7.56
2235.43,7.56
2257.78,7.54
2280.36,7.51
2303.17,7.47
2326.20,7.43
2349.46,7.37
2372.95,7.32
2396.68,7.25
2420.65,7.17
2444.86,7.09
2469.31,6.98
2494.00,6.90
2518.94,6.79
2544.13,6.69
2569.57,6.59
2595.27,6.49
2621.22,6.39
2647.43,6.30
2673.90,6.20
2700.64,6.09
2727.65,5.99
2754.93,5.87
2782.48,5.76
2810.30,5.66
2838.40,5.55
2866.79,5.44
2895.46,5.34
2924.41,5.25
2953.65,5.15
2983.19,5.07
3013.02,5.00
3043.15,4.92
3073.58,4.85
3104.32,4.80
3135.36,4.74
3166.72,4.69
3198.38,4.65
3230.37,4.61
3262.67,4.57
3295.30,4.54
3328.25,4.51
3361.53,4.49
3395.15,4.48
3429.10,4.47
3463.39,4.47
3498.03,4.47
3533.01,4.49
3568.34,4.51
3604.02,4.53
3640.06,4.58
3676.46,4.62
3713.22,4.68
3750.36,4.75
3787.86,4.83
3825.74,4.90
3864.00,5.00
3902.64,5.10
3941.66,5.19
3981.08,5.29
4020.89,5.40
4061.10,5.52
4101.71,5.66
4142.73,5.78
4184.15,5.89
4226.00,6.00
4268.26,6.11
4310.94,6.25
4354.05,6.39
4397.59,6.49
4441.56,6.61
4485.98,6.75
4530.84,6.88
4576.15,6.99
4621.91,7.08
4668.13,7.16
4714.81,7.23
4761.96,7.28
4809.58,7.29
4857.67,7.28
4906.25,7.24
4955.31,7.15
5004.87,7.04
5054.91,6.89
5105.46,6.70
5156.52,6.48
5208.08,6.26
5260.16,6.01
5312.77,5.74
5365.89,5.47
5419.55,5.16
5473.75,4.87
5528.49,4.59
5583.77,4.29
5639.61,3.99
5696.00,3.70
5752.96,3.41
5810.49,3.14
5868.60,2.87
5927.28,2.62
5986.56,2.40
6046.42,2.16
6106.89,1.98
6167.96,1.79
6229.64,1.60
6291.93,1.46
6354.85,1.34
6418.40,1.22
6482.58,1.12
6547.41,1.07
6612.88,1.03
6679.01,1.03
6745.80,1.05
6813.26,1.10
6881.39,1.16
6950.21,1.26
7019.71,1.38
7089.91,1.52
7160.81,1.68
7232.41,1.85
7304.74,2.06
7377.79,2.26
7451.56,2.47
7526.08,2.71
7601.34,2.95
7677.35,3.19
7754.13,3.44
7831.67,3.65
7909.98,3.87
7989.08,4.07
8068.98,4.24
8149.67,4.37
8231.16,4.45
8313.47,4.47
8396.61,4.39
8480.57,4.24
8565.38,4.02
8651.03,3.75
