frequency,raw
20.00,8.13
20.20,8.20
20.40,8.26
20.61,8.33
20.81,8.37
21.02,8.40
21.23,8.41
21.44,8.41
21.66,8.45
21.87,8.50
22.09,8.53
22.31,8.55
22.54,8.60
22.76,8.62
22.99,8.66
23.22,8.66
23.45,8.63
23.69,8.62
23.92,8.66
24.16,8.66
24.40,8.68
24.65,8.72
24.89,8.73
25.14,8.75
25.39,8.78
25.65,8.80
25.91,8.79
26.16,8.79
26.43,8.83
26.69,8.85
26.96,8.90
27.23,8.91
27.50,8.95
27.77,8.96
28.05,8.97
28.33,9.01
28.62,9.01
28.90,9.00
29.19,9.02
29.48,9.02
29.78,9.02
30.08,9.05
30.38,9.11
30.68,9.12
30.99,9.14
31.30,9.19
31.61,9.18
31.93,9.18
32.24,9.20
32.57,9.22
32.89,9.26
33.22,9.26
33.55,9.26
33.89,9.32
34.23,9.33
34.57,9.33
34.92,9.33
35.27,9.33
35.62,9.33
35.97,9.33
36.33,9.33
36.70,9.33
37.06,9.33
37.43,9.33
37.81,9.33
38.19,9.33
38.57,9.37
38.95,9.39
39.34,9.39
39.74,9.39
40.14,9.39
40.54,9.39
40.94,9.39
41.35,9.39
41.76,9.39
42.18,9.34
42.60,9.31
43.03,9.26
43.46,9.26
43.90,9.31
44.33,9.29
44.78,9.22
45.23,9.20
45.68,9.20
46.13,9.20
46.60,9.20
47.06,9.17
47.53,9.17
48.01,9.20
48.49,9.20
48.97,9.20
49.46,9.20
49.96,9.18
50.46,9.17
50.96,9.14
51.47,9.12
51.99,9.08
52.51,9.08
53.03,9.08
53.56,9.08
54.10,9.08
54.64,9.08
55.18,9.08
55.74,9.05
56.29,9.05
56.86,9.04
57.42,9.02
58.00,8.98
58.58,8.94
59.16,8.95
59.76,8.95
60.35,8.87
60.96,8.84
61.57,8.84
62.18,8.84
62.80,8.85
63.43,8.83
64.07,8.76
64.71,8.72
65.35,8.72
66.01,8.73
66.67,8.77
67.33,8.79
68.01,8.79
68.69,8.74
69.37,8.71
70.07,8.67
70.77,8.63
71.48,8.60
72.19,8.60
72.91,8.60
73.64,8.59
74.38,8.53
75.12,8.48
75.87,8.47
76.63,8.47
77.40,8.47
78.17,8.46
78.95,8.41
79.74,8.36
80.54,8.34
81.35,8.29
82.16,8.24
82.98,8.23
83.81,8.23
84.65,8.23
85.50,8.20
86.35,8.15
87.22,8.08
88.09,8.07
88.97,8.02
89.86,7.94
90.76,7.88
91.66,7.84
92.58,7.84
93.51,7.81
94.44,7.76
95.39,7.73
96.34,7.73
97.30,7.71
98.28,7.66
99.26,7.62
100.25,7.59
101.25,7.57
102.27,7.56
103.29,7.56
104.32,7.56
105.37,7.55
106.42,7.52
107.48,7.50
108.56,7.48
109.64,7.40
110.74,7.33
111.85,7.26
112.97,7.24
114.10,7.18
115.24,7.11
116.39,7.08
117.55,7.10
118.73,7.08
119.92,7.02
121.12,6.96
122.33,6.89
123.55,6.89
124.79,6.84
126.03,6.77
127.29,6.71
128.57,6.67
129.85,6.60
131.15,6.55
132.46,6.49
