frequency,raw
20.00,-3.18
20.20,-3.17
20.40,-3.16
20.61,-3.14
20.81,-3.11
21.02,-3.08
21.23,-3.05
21.44,-3.03
21.66,-3.01
21.87,-2.96
22.09,-2.94
22.31,-2.89
22.54,-2.85
22.76,-2.82
22.99,-2.78
23.22,-2.74
23.45,-2.69
23.69,-2.64
23.92,-2.58
24.16,-2.53
24.40,-2.47
24.65,-2.42
24.89,-2.34
25.14,-2.29
25.39,-2.21
25.65,-2.15
25.91,-2.09
26.16,-2.03
26.43,-1.98
26.69,-1.93
26.96,-1.88
27.23,-1.79
27.50,-1.71
27.77,-1.66
28.05,-1.60
28.33,-1.51
28.62,-1.45
28.90,-1.37
29.19,-1.30
29.48,-1.24
29.78,-1.19
30.08,-1.15
30.38,-1.10
30.68,-1.04
30.99,-0.96
31.30,-0.89
31.61,-0.80
31.93,-0.72
32.24,-0.65
32.57,-0.56
32.89,-0.46
33.22,-0.37
33.55,-0.27
33.89,-0.17
34.23,-0.08
34.57,-0.00
34.92,0.10
35.27,0.17
35.62,0.28
35.97,0.37
36.33,0.45
36.70,0.53
37.06,0.64
37.43,0.72
37.81,0.79
38.19,0.88
38.57,0.93
38.95,0.99
39.34,1.04
39.74,1.06
40.14,1.11
40.54,1.12
40.94,1.12
41.35,1.14
41.76,1.14
42.18,1.12
42.60,1.12
43.03,1.12
43.46,1.12
43.90,1.12
44.33,1.08
44.78,1.06
45.23,1.06
45.68,1.06
46.13,1.06
46.60,1.03
47.06,1.03
47.53,1.00
48.01,1.00
48.49,1.00
48.97,1.00
49.46,1.02
49.96,1.03
50.46,1.06
50.96,1.06
51.47,1.06
51.99,1.06
52.51,1.07
53.03,1.10
53.56,1.12
54.10,1.12
54.64,1.15
55.18,1.17
55.74,1.20
56.29,1.24
56.86,1.26
57.42,1.30
58.00,1.33
58.58,1.36
59.16,1.40
59.76,1.42
60.35,1.44
60.96,1.47
61.57,1.50
62.18,1.54
62.80,1.57
63.43,1.60
64.07,1.62
64.71,1.66
65.35,1.69
66.01,1.72
66.67,1.74
67.33,1.79
68.01,1.79
68.69,1.81
69.37,1.85
70.07,1.85
70.77,1.85
71.48,1.88
72.19,1.91
72.91,1.91
73.64,1.91
74.38,1.93
75.12,1.96
75.87,1.97
76.63,1.97
77.40,1.97
78.17,1.97
78.95,2.00
79.74,2.01
80.54,2.03
